,Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
1858,"In South Agrabad, Flat Of 3 Bedroom Is Up For Sale",3.0,3.0,2,vacant,1300.0,chattogram,"৳7,150,000","South Agrabad, Double Mooring"
1859,Check This Nice Flat For Sale At North Agrabad Nearby Agrabad Housing Jame Mosque,3.0,2.0,4,vacant,1200.0,chattogram,"৳4,800,000","24 No. North Agrabad Ward, Double Mooring"
1861,A 1200 Square Feet-3 Bedroom Residential Apartment For Sale At 33 No. Firingee Bazaar Ward.,3.0,3.0,1,vacant,1200.0,chattogram,"৳6,000,000","Yakub Nagar Road, 33 No. Firingee Bazaar Ward"
1868,A Finely Built 1638 Sq Ft Flat Is Up For Sale In 10 No. North Kattali Ward,4.0,4.0,4,vacant,1638.0,chattogram,"৳8,000,000","Dhaka- Chattogram Highway, 10 No. North Kattali Ward"
1869,"In Double Mooring, With A Convenient Price, A 1550 Sq Ft Flat Is Up For Sale",3.0,3.0,3,vacant,1550.0,chattogram,"৳7,750,000","25 No. Rampur Ward, Double Mooring"
1870,"In The Beautiful Neighborhood Of Double Mooring, An Apartment Of 1550 Sq Ft Is Up For Sale",3.0,3.0,2,vacant,1550.0,chattogram,"৳7,750,000","25 No. Rampur Ward, Double Mooring"
1871,"At Kazirhat, A 1100 Sq Ft Apartment Is Up For Sale",2.0,2.0,1,vacant,1100.0,chattogram,"৳4,500,000","Mohara, 4 No Chandgaon Ward"
1872,"Convenient 1222 Sq Ft Is Now For Sale In Kadamtali, Double Mooring",3.0,3.0,5,vacant,1222.0,chattogram,"৳4,888,000","23 No. North Pathantooly Ward, Double Mooring"
1873,Attention ! A 1226 Sq.ft Kadamtali Apartment Is Up For Sale Close To Baitul Jannat Jame Masjid,3.0,3.0,3,vacant,1226.0,chattogram,"৳4,904,000","23 No. North Pathantooly Ward, Double Mooring"
1874,Contact Us To Buy 1428 Sq Ft Home Which Is Now Available In Sabujbag For Sale,3.0,3.0,5,vacant,1428.0,chattogram,"৳4,998,000","Sabujbag, Halishahar"
1875,Select Your Next Residing Place At This Nice Flat Of 1408 Sq Ft In Halishahar,3.0,3.0,5,vacant,1408.0,chattogram,"৳4,928,000","Sabujbag, Halishahar"
1876,1500 Sq Ft Flat Is Available For Sale At Pahartali,4.0,4.0,11,vacant,1500.0,chattogram,"৳4,950,000","12 No. Sarai Para Ward, Double Mooring"
1877,Buy This Flat For The vibrant Urban Lifestyle You Dream About,4.0,4.0,11,vacant,1500.0,chattogram,"৳4,950,000","12 No. Sarai Para Ward, Double Mooring"
1878,A 1500 Sq.Ft Residential Apartment For Sale At 24 No. North Agrabad Ward.,3.0,2.0,4,vacant,1500.0,chattogram,"৳6,000,000","24 No. North Agrabad Ward, Double Mooring"
1879,A 1600 Square Feet House At 24 No. North Agrabad Ward Is Up For Sale.,3.0,2.0,4,vacant,1600.0,chattogram,"৳6,400,000","24 No. North Agrabad Ward, Double Mooring"
1881,An Adequate Apartment Of 1160 Sq.Ft Is Up For Sale In Dewan Bazar .,3.0,3.0,4,vacant,1160.0,chattogram,"৳5,220,000","Dewan Bazar, Bakalia"
